aircraft,crew,length_ft,wingspan_ft,height_ft,wing_area_sqft,empty_weight_lb,gross_weight_lb,max_takeoff_weight_lb,engine_count,engine_thrust_lbf,engine_thrust_ab_lbf,max_speed_mach,max_speed_kts,cruise_speed_kts,combat_range_nmi,ferry_range_nmi,range_nmi,service_ceiling_ft
Northrop Grumman RQ-4 Global Hawk,0.0,47.6,130.9,15.3,,14950.0,32250.0,,1.0,7600.0,,,,,,,12300.0,60000.0
General Atomics MQ-9 Reaper,0.0,,,,,,,,1.0,,,,,,,,1000.0,50000.0
AeroVironment RQ-20 Puma,,,,,,,,,,,,,,,,,,
Lockheed Martin RQ-170 Sentinel,3.0,14.0,38.0,6.0,,,,,1.0,,,,,,,,,50000.0
Raytheon T-1 Jayhawk,3.0,48.0,43.0,13.0,241.4,10450.0,,16100.0,2.0,2900.0,,,468.0,392.0,,,2900.0,41000.0
Beechcraft T-6 Texan II,,33.0,33.0,10.0,177.5,4707.0,6300.0,6500.0,1.0,,,,,,,,900.0,31000.0
Boeing–Saab T-7 Red Hawk,,46.0,30.0,13.0,,18000.0,22000.0,,1.0,11000.0,17200.0,0.975,,,,,,50000.0
Northrop T-38 Talon,2.0,46.0,25.0,12.0,170.0,7200.0,11820.0,12093.0,2.0,2680.0,,1.3,746.0,,,,991.0,50000.0
Cessna T-41 Mescalero,,26.0,35.0,8.0,159.0,1363.0,2500.0,,1.0,,,,125.0,,,,626.0,17000.0
Cessna 150,,23.0,33.0,8.0,160.0,1122.0,,1600.0,1.0,,,,109.0,82.0,,,420.0,14000.0
Cirrus SR20,1.0,26.0,38.0,8.0,,2126.0,3050.0,,1.0,,,,,155.0,,,,17500.0
Lockheed U-2,1.0,63.0,103.0,16.0,1000.0,16000.0,,40000.0,1.0,17000.0,,,,413.0,,,6090.0,80000.0
Bell-Boeing V-22 Osprey,1.0,57.0,45.0,22.0,301.4,31818.0,39500.0,,2.0,,,,275.0,,390.0,2230.0,879.0,25000.0
General Dynamics X-62 VISTA,2.0,,,,300.0,18238.0,26463.0,42300.0,1.0,16600.0,28200.0,,,,,2800.0,,50000.0
Composite Engineering BQM-167 Skeeter,,20.0,10.5,4.0,,690.0,,2050.0,1.0,990.0,,,600.0,230.0,,,,50000.0
CASA/IPTN CN-235,,70.0,84.0,26.0,636.1,21605.0,,35420.0,2.0,,,,,248.0,,,2350.0,30000.0
Beechcraft RC-12 Guardrail,,43.0,58.0,14.0,,11500.0,15090.0,15000.0,2.0,,,,,,,,,
Beechcraft 1900,1.0,57.0,57.0,15.0,,10874.0,,17120.0,2.0,,,,,280.0,,1245.0,382.0,25000.0
Fairchild C-26 Metroliner,,59.0,57.0,16.0,,,,14000.0,2.0,,,,288.0,,,,2025.0,31000.0
Alenia C-27J Spartan,,,,,,,,71650.0,2.0,,,,,,,,,
Cessna Citation V,,48.9,52.2,15.0,,9925.0,,16300.0,2.0,3045.0,,0.755,,,,,1960.0,45000.0
CASA C-212 Aviocar,2.0,,,,,,,,2.0,,,,,,,,,
MH-6 Little Bird,2.0,32.0,,8.0,,1591.0,,3100.0,1.0,,,,152.0,135.0,,,232.0,18700.0
CH-47 Chinook,3.0,98.0,,18.0,,24578.0,54000.0,,2.0,,,,170.0,157.0,165.0,1216.0,400.0,20000.0
Boeing CH-47 Chinook,3.0,98.0,,18.0,,24578.0,54000.0,,2.0,,,,170.0,157.0,165.0,1216.0,400.0,20000.0
UH-60 Black Hawk,2.0,64.0,,16.0,,12511.0,,22000.0,2.0,,,,159.0,152.0,320.0,1199.0,,19000.0
Sikorsky UH-60 Black Hawk,2.0,64.0,,16.0,,12511.0,,22000.0,2.0,,,,159.0,152.0,320.0,1199.0,,19000.0
Boeing AH-64 Apache,2.0,,,,,11387.0,17650.0,23000.0,2.0,,,,158.0,143.0,260.0,1024.0,257.0,20000.0
Eurocopter UH-72 Lakota,1.0,,,,,,,,2.0,,,,,,,,,
De Havilland Canada Dash 7,2.0,80.0,93.0,26.0,860.0,27690.0,,44000.0,4.0,,,,231.0,,,,690.0,21000.0
General Atomics MQ-1C Gray Eagle,,28.0,56.0,6.9,,,,3600.0,1.0,,,,167.0,,,,,29000.0
MMIST CQ-10 SnowGoose,,9.5,6.8,,,,1400.0,,1.0,,,,33.0,,,,160.0,18000.0
Bombardier Challenger 600 series,,68.0,64.0,20.0,489.0,27150.0,,48200.0,2.0,9220.0,,0.85,,,,,4000.0,41000.0
Mil Mi-8,3.0,,,,,,,,2.0,,,,,,,,,
Mil Mi-24,2.0,,,,,,,,2.0,,,,,,,,,
Gulfstream G550,2.0,96.0,93.0,25.0,,48300.0,54500.0,91000.0,2.0,15385.0,,,,,,,6750.0,51000.0
EADS CASA HC-144 Ocean Sentry,,70.0,84.0,26.0,636.0,21605.0,,36380.0,2.0,,,,236.0,,,,1565.0,
Sikorsky MH-60 Jayhawk,,64.0,53.0,17.0,,14500.0,,21884.0,2.0,,,,180.0,140.0,,,700.0,5000.0
Eurocopter HH-65 Dolphin,2.0,,,,,,,,2.0,,,,180.0,130.0,,,,
Lockheed Martin KC-130,4.0,97.0,132.0,38.0,1745.0,75562.0,164000.0,175000.0,4.0,,,,362.0,348.0,,,2835.0,28000.0
Northrop F-5,1.0,48.0,26.0,13.0,186.0,9583.0,15745.0,24675.0,2.0,3500.0,5000.0,,,,,2010.0,481.0,51800.0
Bell UH-1Y Venom,2.0,58.0,,14.0,,11840.0,,18500.0,2.0,,,,164.0,158.0,130.0,,,20000.0
Bell AH-1Z Viper,,58.0,,14.0,,12300.0,,18500.0,2.0,,,,,160.0,125.0,,370.0,20000.0
Sikorsky SH-3 Sea King,2.0,54.0,,16.0,,11865.0,18626.0,21500.0,2.0,,,,144.0,118.0,,,542.0,14700.0
Sikorsky CH-53E Super Stallion,2.0,99.0,,27.0,,33226.0,,73500.0,3.0,,,,170.0,150.0,180.0,990.0,540.0,18500.0
Sikorsky CH-53K King Stallion,4.0,99.0,,28.0,,43878.0,,88000.0,3.0,,,,,170.0,110.0,,460.0,16000.0
Sikorsky VH-92 Patriot,4.0,56.0,,15.0,,15500.0,26500.0,27700.0,2.0,,,,165.0,151.0,,,539.0,14000.0
Kaman K-MAX,1.0,52.0,,13.0,,5145.0,,6500.0,1.0,,,,,,,,300.0,15000.0
Beechcraft T-34 Mentor,2.0,28.0,33.0,9.0,179.6,2960.0,,4300.0,1.0,,,,,214.0,,,708.0,30000.0
McDonnell Douglas AV-8B Harrier II,1.0,46.0,30.0,11.0,243.4,13968.0,22950.0,,1.0,23500.0,,0.9,585.0,,300.0,1800.0,1200.0,
Boeing EA-18G Growler,2.0,60.0,44.0,16.0,500.0,33094.0,48000.0,66000.0,2.0,14000.0,22000.0,1.8,,,390.0,1800.0,1275.0,50000.0
Grumman C-2 Greyhound,2.0,56.0,80.0,15.0,700.0,33746.0,49394.0,60000.0,2.0,,,,343.0,251.0,,2000.0,1300.0,33500.0
Gulfstream G100,2.0,,,,,13700.0,,24650.0,2.0,4250.0,,0.875,,484.0,,,2949.0,45000.0
Lockheed C-130 Hercules,5.0,97.0,132.0,38.0,1745.0,75800.0,,155000.0,4.0,,,,320.0,292.0,,3995.0,2050.0,33000.0
Northrop Grumman E-2 Hawkeye,,57.0,80.0,18.0,700.0,40200.0,43068.0,57500.0,2.0,,,,350.0,256.0,,1462.0,,34700.0
Boeing E-6 Mercury,22.0,150.0,148.0,42.0,3050.0,172795.0,,342000.0,4.0,,,,522.0,455.0,6350.0,,6600.0,40000.0
F-35C,1.0,51.4,35.0,14.4,460.0,29300.0,49540.0,65918.0,1.0,28000.0,43000.0,1.6,,,669.0,,1500.0,50000.0
Bell 206,1.0,38.0,,9.0,,1455.0,,3200.0,1.0,,,,122.0,120.0,,,337.0,20000.0
Sikorsky SH-60 Seahawk,,64.0,,17.0,,15200.0,17758.0,21884.0,2.0,,,,146.0,,,,450.0,12000.0
AgustaWestland TH-73A Thrasher,,,,,,,,,1.0,,,,,,,,,
Lockheed P-3 Orion,11.0,116.0,99.0,33.0,,61491.0,,135000.0,4.0,,,,411.0,328.0,1345.0,4830.0,,28300.0
Boeing P-8 Poseidon,7.0,129.0,123.0,42.0,,138300.0,,189200.0,2.0,27300.0,,,490.0,440.0,1200.0,4500.0,,41000.0
MQ-4C,4.0,47.6,130.9,15.4,,14945.0,32250.0,,1.0,,,,320.0,,,,8200.0,56000.0
Northrop Grumman MQ-8C Fire Scout,0.0,34.7,,10.9,,,,6000.0,1.0,,,,140.0,,,,,20000.0
Boeing Insitu RQ-21 Blackjack,,8.2,16.0,,,81.0,,135.0,1.0,,,,90.0,55.0,,,50.0,19500.0
Boeing MQ-25 Stingray,,51.0,75.0,9.8,,,,,1.0,,,,,,,,500.0,
Boeing ScanEagle,,,10.2,,,,39.7,58.0,1.0,,,,80.0,60.0,,,,19500.0
McDonnell Douglas T-45 Goshawk,2.0,39.0,30.0,13.0,190.1,9394.0,12750.0,13500.0,1.0,5527.0,,,543.0,,,700.0,700.0,42500.0
De Havilland Canada DHC-3 Otter,1.0,41.0,58.0,12.0,375.0,4108.0,8000.0,,1.0,,,,,,,,,18800.0
De Havilland Canada DHC-2 Beaver,1.0,30.0,48.0,9.0,250.0,3000.0,5100.0,,1.0,,,,,,,,,18000.0
Bell Boeing V-22 Osprey,1.0,57.0,45.0,22.0,301.4,31818.0,39500.0,,2.0,,,,275.0,,390.0,2230.0,879.0,25000.0
Schweizer X-26 Frigate,,26.0,57.0,9.0,180.0,857.0,1430.0,,,,,,,,,,,
Boeing X-37,,29.0,14.0,9.0,,,,11000.0,1.0,,,,,,,,,
